X,Y,Name,description
-68.21,44.35,Acadia,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-%3A0_11-2"">List of national parks of the United States</a>"
-170.68,-14.25,National Park of American Samoa,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-15"">List of national parks of the United States</a>"
-109.57,38.68,Arches,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-16"">List of national parks of the United States</a>"
-102.5,43.75,Badlands,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-18"">List of national parks of the United States</a>"
-103.25,29.25,Big Bend,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-20"">List of national parks of the United States</a>"
-80.08,25.65,Biscayne,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-22"">List of national parks of the United States</a>"
-107.72,38.57,Black Canyon of the Gunnison,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-23"">List of national parks of the United States</a>"
-112.18,37.57,Bryce Canyon,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-24"">List of national parks of the United States</a>"
-109.93,38.2,Canyonlands,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-25"">List of national parks of the United States</a>"
-111.17,38.2,Capitol Reef,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-26"">List of national parks of the United States</a>"
-104.44,32.17,Carlsbad Caverns,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-27"">List of national parks of the United States</a>"
-119.42,34.01,Channel Islands,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-29"">List of national parks of the United States</a>"
-80.78,33.78,Congaree,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-31"">List of national parks of the United States</a>"
-122.1,42.94,Crater Lake,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-33"">List of national parks of the United States</a>"
-81.55,41.24,Cuyahoga Valley,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-34"">List of national parks of the United States</a>"
